,Thinning,Increased curl,Decreased curl,Texture change,Patchy regrowth,Permanent alopecia,Colour change,Thickness increase
Alkylator (n=311),54.3,3.2,1.6,10.6,8.4,3.9,3.9,2.3
Taxane (n=284),58.8,4.9,0.7,8.8,6.3,3.5,5.3,3.2
Anthracycline (n=277),57.8,4.3,1.8,10.8,7.9,2.9,4.0,2.9
Platinum (n=207),54.6,3.4,0.5,6.3,10.1,4.3,4.3,4.8
Vinca alkaloid (n=146),58.2,4.8,2.1,11.0,8.2,1.4,4.1,2.1
Radiotherapy (n=129),34.1,0.8,0.0,2.3,19.4,14.0,0.8,0.8
Endocrine therapy (n=128),61.7,8.6,1.6,15.6,7.0,4.7,3.9,7.8
Immune checkpoint inhibitor (n=70),42.9,11.4,1.4,15.7,7.1,2.9,2.9,1.4
Targeted therapy or ADC (n=57),52.6,3.5,1.8,12.3,8.8,5.3,3.5,3.5
Antimetabolite (n=43),48.8,0.0,0.0,11.6,4.7,2.3,7.0,0.0
CDK4/6 inhibitor (n=37),64.9,16.2,2.7,10.8,5.4,2.7,5.4,5.4
