post_id,umap1,umap2,cluster,cluster_label
1020p6l,7.559666,6.3825755,1,Post-Chemo Hair Regrowth
1025pfq,6.752249,8.786983,2,Post-Treatment Side Effects
1039yoe,3.519847,5.7322907,4,Chemo Curls Hair Care
107lr95,4.829256,5.280717,3,Hair Loss & Regrowth Journey
1085h65,6.3171024,4.3130026,3,Hair Loss & Regrowth Journey
10b14li,6.5141425,8.71151,1,Post-Chemo Hair Regrowth
10bccc4,7.92836,8.259378,1,Post-Chemo Hair Regrowth
10fh1pu,7.497768,7.662009,1,Post-Chemo Hair Regrowth
10fr1er,5.58641,5.9526057,1,Post-Chemo Hair Regrowth
10g9j1i,6.214698,3.9387848,3,Hair Loss & Regrowth Journey
10g9rsy,7.5745497,2.725052,5,Emotional Struggles Post-Treatment
10h474v,5.698851,5.86595,3,Hair Loss & Regrowth Journey
10hckcs,2.19882,5.9527183,4,Chemo Curls Hair Care
10l6nwr,2.82485,6.2618055,4,Chemo Curls Hair Care
10m8c70,2.8146014,6.332457,4,Chemo Curls Hair Care
10sslga,8.11748,6.2819705,3,Hair Loss & Regrowth Journey
10tkg22,8.986452,1.2067306,6,Milestones and Survivorship Updates
10ur0nj,7.113453,2.4997523,5,Emotional Struggles Post-Treatment
10w6hzc,6.3871684,8.008399,1,Post-Chemo Hair Regrowth
10wmnv5,3.4448802,5.5781302,4,Chemo Curls Hair Care
10xvgkt,6.3799634,5.8564224,3,Hair Loss & Regrowth Journey
10y95p1,3.9865842,7.215274,4,Chemo Curls Hair Care
10y9bb3,6.061503,7.9136043,6,Milestones and Survivorship Updates
10zsu23,4.2289715,6.6223555,3,Hair Loss & Regrowth Journey
110iuzx,7.669756,6.4191313,1,Post-Chemo Hair Regrowth
1128e35,9.408751,3.4576507,2,Post-Treatment Side Effects
1129gnl,6.442436,8.453936,1,Post-Chemo Hair Regrowth
112hjfz,6.23978,5.1474667,3,Hair Loss & Regrowth Journey
112xbeb,8.181067,3.477569,2,Post-Treatment Side Effects
112zllp,8.607143,1.7640188,6,Milestones and Survivorship Updates
114jwyc,2.7196913,6.231387,4,Chemo Curls Hair Care
114s1zi,2.703074,6.2920475,4,Chemo Curls Hair Care
115x7r5,2.9736469,5.6487527,4,Chemo Curls Hair Care
116pihh,3.0816734,6.514581,4,Chemo Curls Hair Care
116s9a0,10.629247,3.185561,3,Hair Loss & Regrowth Journey
117glmj,2.16404,6.2800207,4,Chemo Curls Hair Care
118h9pg,6.4032826,6.124304,2,Post-Treatment Side Effects
11bm4yg,4.7713823,4.9324455,3,Hair Loss & Regrowth Journey
11e5m9r,7.002927,7.5444593,1,Post-Chemo Hair Regrowth
11eo7q4,9.4203,1.9855447,6,Milestones and Survivorship Updates
11jrd6g,9.56584,2.5285213,6,Milestones and Survivorship Updates
11n6wf7,9.833379,2.936688,6,Milestones and Survivorship Updates
11olonk,8.620031,7.812222,1,Post-Chemo Hair Regrowth
11qkeni,8.530847,1.6026676,5,Emotional Struggles Post-Treatment
11znsnf,9.44371,1.5140157,6,Milestones and Survivorship Updates
123xgvr,4.133418,6.601046,3,Hair Loss & Regrowth Journey
125w196,2.7998514,6.1274667,4,Chemo Curls Hair Care
126ybya,9.991733,2.6219416,2,Post-Treatment Side Effects
128p3fx,7.930123,6.9001637,1,Post-Chemo Hair Regrowth
12l610d,5.8057117,4.2332067,3,Hair Loss & Regrowth Journey
12mb6yz,5.0661697,7.5831165,1,Post-Chemo Hair Regrowth
12nmyoq,9.867326,2.899873,2,Post-Treatment Side Effects
12rk0bn,2.9100125,5.5985837,4,Chemo Curls Hair Care
12s2plw,8.832071,3.947952,2,Post-Treatment Side Effects
130q481,8.327562,7.236699,1,Post-Chemo Hair Regrowth
13131bk,10.226764,1.8454143,6,Milestones and Survivorship Updates
1348p9c,9.00725,1.5495911,6,Milestones and Survivorship Updates
1360iwv,8.66948,2.9126446,2,Post-Treatment Side Effects
1375jcf,9.653624,1.8323855,6,Milestones and Survivorship Updates
138tvw3,9.661728,1.530385,6,Milestones and Survivorship Updates
1398qvs,5.754398,6.0417833,3,Hair Loss & Regrowth Journey
13e77i7,6.927764,6.8159366,1,Post-Chemo Hair Regrowth
13h0v37,3.296126,5.190706,4,Chemo Curls Hair Care
13hhucp,7.491866,6.945321,1,Post-Chemo Hair Regrowth
13ijh6s,9.616179,1.2491013,6,Milestones and Survivorship Updates
13iks29,6.3905797,6.078523,3,Hair Loss & Regrowth Journey
13k2agz,6.6027226,7.3043065,1,Post-Chemo Hair Regrowth
13kqumb,10.025713,2.5360389,6,Milestones and Survivorship Updates
13mogl1,8.931315,7.687188,2,Post-Treatment Side Effects
